Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,sleep_in_hr
6117666160,2016-04-21,1,508,550,9.2
6117666160,2016-04-22,1,480,546,9.1
6117666160,2016-04-23,1,492,539,9.0
6117666160,2016-04-24,1,353,367,6.1
6117666160,2016-04-27,1,542,557,9.3
6117666160,2016-04-28,1,393,416,6.9
6117666160,2016-04-29,1,600,636,10.6
6117666160,2016-05-01,1,507,575,9.6
6117666160,2016-05-05,1,392,415,6.9
6117666160,2016-05-06,2,658,698,11.6
6117666160,2016-05-07,2,498,507,8.4
6117666160,2016-05-08,1,555,603,10.0
6117666160,2016-05-09,1,492,522,8.7
6775888955,2016-04-13,1,235,260,4.3
6775888955,2016-04-14,1,423,441,7.4
6775888955,2016-04-15,1,391,406,6.8
6962181067,2016-04-12,1,366,387,6.4
6962181067,2016-04-13,3,630,679,11.3
6962181067,2016-04-14,2,508,535,8.9
6962181067,2016-04-15,1,370,386,6.4
6962181067,2016-04-16,1,357,366,6.1
6962181067,2016-04-17,1,427,446,7.4
6962181067,2016-04-18,1,442,458,7.6
6962181067,2016-04-19,1,476,535,8.9
6962181067,2016-04-20,1,418,424,7.1
6962181067,2016-04-21,1,451,457,7.6
6962181067,2016-04-22,1,425,435,7.2
6962181067,2016-04-23,1,528,546,9.1
6962181067,2016-04-24,1,511,514,8.6
6962181067,2016-04-25,1,400,415,6.9
6962181067,2016-04-26,1,441,446,7.4
6962181067,2016-04-27,1,455,467,7.8
6962181067,2016-04-28,1,440,453,7.6
6962181067,2016-04-29,1,433,447,7.4
6962181067,2016-04-30,1,422,424,7.1
6962181067,2016-05-01,1,411,426,7.1
6962181067,2016-05-02,1,466,482,8.0
6962181067,2016-05-03,1,394,418,7.0
6962181067,2016-05-04,1,442,455,7.6
6962181067,2016-05-05,1,467,491,8.2
6962181067,2016-05-06,1,443,462,7.7
6962181067,2016-05-07,1,298,334,5.6
6962181067,2016-05-08,1,541,569,9.5
6962181067,2016-05-09,1,489,497,8.3
6962181067,2016-05-10,1,469,481,8.0
6962181067,2016-05-11,1,452,480,8.0
6962181067,2016-05-12,1,516,535,8.9
7007744171,2016-04-16,1,79,82,1.4
7007744171,2016-05-01,1,58,61,1.0
7086361926,2016-04-12,1,514,525,8.8
7086361926,2016-04-13,1,451,465,7.8
7086361926,2016-04-14,1,472,476,7.9
7086361926,2016-04-15,1,377,386,6.4
7086361926,2016-04-19,1,472,483,8.0
7086361926,2016-04-20,1,492,502,8.4
7086361926,2016-04-21,1,390,411,6.8
7086361926,2016-04-22,1,428,448,7.5
7086361926,2016-04-24,1,681,704,11.7
7086361926,2016-04-25,1,446,447,7.4
7086361926,2016-04-26,1,485,500,8.3
7086361926,2016-04-27,1,469,479,8.0
7086361926,2016-04-28,1,354,367,6.1
7086361926,2016-04-30,1,485,489,8.2
7086361926,2016-05-01,1,388,407,6.8
7086361926,2016-05-02,1,440,459,7.6
7086361926,2016-05-03,1,456,461,7.7
7086361926,2016-05-04,1,420,436,7.3
7086361926,2016-05-06,1,322,333,5.6
7086361926,2016-05-07,1,530,548,9.1
7086361926,2016-05-08,1,481,510,8.5
7086361926,2016-05-09,1,427,438,7.3
7086361926,2016-05-11,1,451,463,7.7
7086361926,2016-05-12,1,444,457,7.6
8053475328,2016-04-20,1,486,493,8.2
8053475328,2016-04-23,1,331,337,5.6
8053475328,2016-05-07,1,74,75,1.2
8378563200,2016-04-12,1,338,356,5.9
8378563200,2016-04-13,2,447,487,8.1
8378563200,2016-04-14,1,424,455,7.6
8378563200,2016-04-15,1,513,533,8.9
8378563200,2016-04-16,2,611,689,11.5
8378563200,2016-04-17,2,525,591,9.8
8378563200,2016-04-18,1,398,451,7.5
8378563200,2016-04-19,1,387,421,7.0
8378563200,2016-04-20,1,381,409,6.8
8378563200,2016-04-21,1,396,417,7.0
8378563200,2016-04-22,1,441,469,7.8
8378563200,2016-04-23,1,565,591,9.8
8378563200,2016-04-24,1,458,492,8.2
8378563200,2016-04-25,1,388,402,6.7
8378563200,2016-04-26,1,550,584,9.7
8378563200,2016-04-27,1,531,600,10.0
8378563200,2016-04-28,1,506,556,9.3
8378563200,2016-04-29,1,527,562,9.4
8378563200,2016-04-30,1,468,555,9.2
8378563200,2016-05-01,1,475,539,9.0
8378563200,2016-05-02,1,351,385,6.4
8378563200,2016-05-03,1,405,429,7.2
8378563200,2016-05-04,1,441,477,8.0
8378563200,2016-05-05,1,381,417,7.0
8378563200,2016-05-06,1,323,355,5.9
8378563200,2016-05-07,2,459,513,8.6
8378563200,2016-05-08,1,545,606,10.1
8378563200,2016-05-09,1,359,399,6.6
8378563200,2016-05-10,1,342,391,6.5
8378563200,2016-05-11,1,368,387,6.4
8378563200,2016-05-12,1,496,546,9.1
8792009665,2016-04-12,1,458,493,8.2
8792009665,2016-04-13,1,531,552,9.2
8792009665,2016-04-14,1,486,503,8.4
8792009665,2016-04-15,1,363,377,6.3
8792009665,2016-04-20,1,528,547,9.1
8792009665,2016-04-22,1,391,407,6.8
8792009665,2016-04-23,1,339,360,6.0
8792009665,2016-04-27,1,423,428,7.1
8792009665,2016-04-28,1,402,416,6.9
8792009665,2016-04-29,1,398,406,6.8
8792009665,2016-04-30,1,343,360,6.0
8792009665,2016-05-01,1,503,527,8.8
8792009665,2016-05-02,1,415,423,7.0
8792009665,2016-05-03,1,516,545,9.1
8792009665,2016-05-04,1,439,463,7.7
